ds,yhat,yhat_lower,yhat_upper
2059-12-31,13.361312427045451,12.915316993456498,13.820435447391759
2060-12-31,13.461029299189128,12.999186730223636,13.924182350281658
2061-12-31,13.560473720862468,13.08253523758167,14.034646509199874
2062-12-31,13.65991814253581,13.205675897664548,14.158206460350993
2063-12-31,13.759362564209148,13.316092829814684,14.234708187339796
2064-12-31,13.85907943635283,13.406871448276405,14.335239779940066
2065-12-31,13.958523859035079,13.463120997661578,14.474773495833512
2066-12-31,14.057968280708419,13.586525766738363,14.582917648644335
2067-12-31,14.157412702381759,13.621224545006523,14.67293164713576
2068-12-31,14.257129574525438,13.731855208667934,14.782303362179542
2069-12-31,14.356573996198778,13.84345970321366,14.887696153836373
2070-12-31,14.456018417872121,13.90371819626679,15.002049407439987
2071-12-31,14.555462839545461,14.056412286399715,15.089410767831492
2072-12-31,14.655179711689136,14.11020746284251,15.201806733789427
2073-12-31,14.75462413336248,14.223205164743256,15.328652887527435
2074-12-31,14.85406855503582,14.301141193770697,15.420018330636818
2075-12-31,14.95351297670916,14.372253854968301,15.531084349482063
2076-12-31,15.053229848852839,14.470625220241095,15.614953698187072
2077-12-31,15.152674270526179,14.556041592017348,15.739232964444101
2078-12-31,15.252118692199517,14.670327568802598,15.84908338151353
2079-12-31,15.351563113872857,14.72422064356953,16.015192342828108
2080-12-31,15.451279986016536,14.836885721744288,16.105979002964006
2081-12-31,15.550724407689875,14.907900092294735,16.19468463095684
2082-12-31,15.650168829363215,15.035450943196468,16.289065066784797
2083-12-31,15.749613251036555,15.064120216471999,16.40819894799805
2084-12-31,15.849330123180234,15.19594210995149,16.552316430186607
2085-12-31,15.948774544853574,15.291045923202349,16.668863462925465
2086-12-31,16.048218966526914,15.3831636200299,16.779886370000273
2087-12-31,16.147663388200254,15.451752167659006,16.86099796141891
2088-12-31,16.247380260343935,15.572322013591869,16.987546973284395
2089-12-31,16.346824682017274,15.589283331910746,17.078856373203482
2090-12-31,16.446269103690614,15.679869906992902,17.216044434072728
2091-12-31,16.545713525363958,15.79507312380683,17.313325154690112
2092-12-31,16.64543039750763,15.893881218188062,17.418765648408908
2093-12-31,16.74487481918097,15.923556863424292,17.54984412139609
2094-12-31,16.844319240854315,16.076881127603038,17.664270815321238
2095-12-31,16.94376366252765,16.121607138398403,17.75519764522271
2096-12-31,17.043480535680185,16.218497503586907,17.910193595936143
2097-12-31,17.14292495735353,16.30869750269953,18.00167473977035
2098-12-31,17.24236937902687,16.390536949570333,18.117620535494442
2099-12-31,17.341813800700205,16.506517202954655,18.1638404136367
2100-12-31,17.44125822237355,16.579440459567465,18.27859556294934
2101-12-31,17.54070264404689,16.678928417397387,18.468749294235945
2102-12-31,17.640147065720228,16.77331745522814,18.51499901344864
2103-12-31,17.739591487393568,16.848107090806888,18.671683519314108
2104-12-31,17.83930835953725,16.933471618754457,18.77354271608256
2105-12-31,17.93875278121059,17.01772001811742,18.865160067649825
2106-12-31,18.038197202883925,17.071667660117686,18.96928247501707
2107-12-31,18.137641624557265,17.211693805277836,19.132689760112456
2108-12-31,18.237358496700946,17.271171987672208,19.226273260463227
2109-12-31,18.336802918374286,17.387011216698713,19.315403201847833
2110-12-31,18.436247340047625,17.441537074602213,19.42570201384331
2111-12-31,18.535691761720965,17.495631977036965,19.582262649940848
2112-12-31,18.635408633864643,17.61101017044167,19.67654103038849
2113-12-31,18.734853055537986,17.715306527500072,19.795162987916665
2114-12-31,18.834297477211326,17.78075682382455,19.876997043383163
2115-12-31,18.93374189888467,17.905215222510364,19.98673142942134
2116-12-31,19.033458771028343,17.992178916895533,20.132038006338313
2117-12-31,19.132903192701683,18.009842791115595,20.196622165728595
2118-12-31,19.232347614375026,18.129426517758237,20.348385279459198
2119-12-31,19.331792036048366,18.194230856167515,20.47828397281366
2120-12-31,19.43150890819204,18.326101699104882,20.57301116461934
2121-12-31,19.530953329865387,18.365311357176694,20.656986942382932
2122-12-31,19.630397751538723,18.488628548948707,20.817181361853148
2123-12-31,19.729842173212063,18.56657400640656,20.907531303292288
2124-12-31,19.829559045355744,18.627101736798384,21.067441930403614
2125-12-31,19.929003467029084,18.71568382805291,21.16890222467457
2126-12-31,20.028447888702424,18.765508858085052,21.32281886763045
2127-12-31,20.127892310375763,18.897866805038884,21.442848718362036
2128-12-31,20.22760918352824,18.99925685732817,21.481544218264403
2129-12-31,20.32705360520158,19.056052357722162,21.58770188020469
2130-12-31,20.42649802687492,19.110744548198916,21.70271090963305
2131-12-31,20.52594244854826,19.206515819455085,21.865311132692163
2132-12-31,20.62565932069194,19.255954981938764,21.984968910570988
2133-12-31,20.725103742365278,19.435700812818318,22.064766344682127
2134-12-31,20.824548164038617,19.45752188140794,22.184980985930597
2135-12-31,20.923992585711957,19.576128980966313,22.31614290780878
2136-12-31,21.023709457855638,19.672082102085735,22.388069309513774
2137-12-31,21.123153879528978,19.729438239971184,22.51425987368628
2138-12-31,21.222598301202318,19.83176058915522,22.62973189784838
2139-12-31,21.32204272287566,19.834179770490568,22.760863604033847
2140-12-31,21.421759595019335,20.001547133720713,22.904189427727392
2141-12-31,21.52120401669268,20.072283750051096,22.97648039202455
2142-12-31,21.62064843836602,20.157118355304718,23.112436744071537
2143-12-31,21.720092860039358,20.197929478062896,23.2432563092696
2144-12-31,21.81980973218304,20.345811000186572,23.348929329583875
2145-12-31,21.91925415385638,20.399113101308533,23.45031769551547
2146-12-31,22.01869857552972,20.499861779144467,23.621104755198743
2147-12-31,22.118142997203055,20.55861759973805,23.711973969108175
2148-12-31,22.217859869346736,20.662740899312855,23.778583818135203
2149-12-31,22.317304291020076,20.691884020716458,23.91758926526588
2150-12-31,22.416748712693416,20.742634405886708,24.063931771547786
2151-12-31,22.516193134366752,20.854191087221853,24.20646973926472
2152-12-31,22.615910006510433,21.011693592158558,24.323084524162127
2153-12-31,22.715354428183772,21.030944461436118,24.40450360448836
2154-12-31,22.81479884985711,21.125138295191455,24.466807820052868
2155-12-31,22.914243271530456,21.19475368401069,24.63283512939844
2156-12-31,23.013960143674133,21.255681815396002,24.800119190098137
2157-12-31,23.113404565347473,21.35733823132909,24.80210077572385
2158-12-31,23.212848987020816,21.491539488327387,24.971813234338107
2159-12-31,23.312293408694156,21.520132897425377,25.08313493953322
2160-12-31,23.412010281846577,21.66823405177565,25.19422512267798
2161-12-31,23.51145470351992,21.685099002905748,25.37502591563245
2162-12-31,23.61089912519326,21.773539347576058,25.47141775751326
2163-12-31,23.7103435468666,21.87835659867612,25.555847760983536
2164-12-31,23.810060419010277,22.005388917712267,25.66633540950419
2165-12-31,23.909504840683617,22.003392918244483,25.824902930579313
2166-12-31,24.008949262356957,22.12533853679738,25.932419478834486
2167-12-31,24.108393684030297,22.1932767781608,26.04907671124077
2168-12-31,24.208110556173978,22.242816497817014,26.11569229483594
2169-12-31,24.307554977847317,22.23019122815816,26.263318587493938
2170-12-31,24.406999399520657,22.472314719999133,26.404676924209344
2171-12-31,24.50644382119399,22.579061582585226,26.459819139465832
2172-12-31,24.606160693337674,22.591447328382582,26.686674756513817
2173-12-31,24.705605115011014,22.663444575727254,26.736431581916953
2174-12-31,24.80504953668435,22.84937930058025,26.862241812641887
2175-12-31,24.90449395835769,22.8550730043729,26.95093346192199
2176-12-31,25.00421083050137,22.91625699111711,27.091183438633976
2177-12-31,25.103655252174708,22.96235602231364,27.192101344999458
2178-12-31,25.203099673848055,23.122092845555606,27.323780822942073
2179-12-31,25.302544095521394,23.12042183148817,27.423267112530606
2180-12-31,25.40226096766507,23.281419163812203,27.537417449597488
2181-12-31,25.501705389338415,23.350670259744934,27.706325452477163
2182-12-31,25.601149811011755,23.436092165102316,27.771198672373934
2183-12-31,25.700594232685095,23.498618859013792,27.95895394662625
2184-12-31,25.800311104828772,23.531588115528237,28.05258619292705
2185-12-31,25.899755526502112,23.65271280250399,28.06406483107799
2186-12-31,25.999199948175452,23.751038760471104,28.259160764425094
2187-12-31,26.09864436984879,23.78703262987763,28.401607565286927
2188-12-31,26.19836124199247,23.908464795613344,28.49360004363806
